iteration,epoch,accuracy,loss,val_accuracy,val_loss
1,1,0.3592,6.4843,0.1316,6.8597
1,2,0.5928,1.4563,0.4342,1.8544
1,3,0.6402,1.0717,0.6798,0.9033
1,4,0.7147,0.7638,0.6316,0.9348
1,5,0.7076,0.7928,0.6360,0.8944
1,6,0.7090,0.7848,0.7412,0.8096
1,7,0.7789,0.6068,0.7281,0.7662
1,8,0.7642,0.6183,0.6798,0.7122
1,9,0.8029,0.5135,0.7237,0.8147
1,10,0.7765,0.5797,0.8114,0.5633
1,11,0.7918,0.6037,0.6228,0.8938
1,12,0.7926,0.5099,0.8421,0.4703
1,13,0.7963,0.5837,0.8246,0.4831
1,14,0.7719,0.5314,0.8114,0.5191
1,15,0.8238,0.4722,0.6053,0.8552
1,16,0.8174,0.5437,0.7851,0.5484
1,17,0.8335,0.4700,0.8202,0.6102
1,18,0.8124,0.4847,0.8114,0.4817
1,19,0.8340,0.4289,0.8114,0.6649
1,20,0.8403,0.3908,0.8421,0.4307
1,21,0.8394,0.4155,0.8289,0.5002
1,22,0.8316,0.4251,0.7895,0.6105
1,23,0.8064,0.5260,0.8596,0.4004
1,24,0.8555,0.3877,0.8246,0.4533
1,25,0.8698,0.4314,0.8114,0.5091
1,26,0.8657,0.4073,0.8246,0.5481
1,27,0.8650,0.4086,0.8289,0.4628
1,28,0.8564,0.3798,0.7632,0.6175
1,29,0.8218,0.5281,0.8158,0.4713
1,30,0.8394,0.4033,0.8684,0.3574
2,1,0.3693,6.5335,0.2149,6.2413
2,2,0.6054,1.2646,0.4825,1.6062
2,3,0.6459,1.0401,0.6623,0.9409
2,4,0.6413,0.9951,0.7193,0.8516
2,5,0.6926,0.7993,0.5044,1.3882
2,6,0.6778,0.8910,0.7325,0.7612
2,7,0.7326,0.7233,0.7588,0.7354
2,8,0.7574,0.6727,0.7281,0.7658
2,9,0.7420,0.5893,0.7105,0.8867
2,10,0.7645,0.6032,0.6228,0.9184
2,11,0.7865,0.5838,0.8202,0.7688
2,12,0.7793,0.6361,0.7456,0.9124
2,13,0.7482,0.6405,0.7719,0.5410
2,14,0.7958,0.5867,0.7500,0.7678
2,15,0.7946,0.5156,0.8421,0.4606
2,16,0.8296,0.4751,0.6140,1.1416
2,17,0.8118,0.4715,0.6711,1.0349
2,18,0.8426,0.4527,0.8202,0.4587
2,19,0.8323,0.4424,0.7895,0.4920
2,20,0.8122,0.5040,0.7719,0.6360
2,21,0.8111,0.4733,0.6798,0.7779
2,22,0.8156,0.4909,0.8640,0.4481
2,23,0.8462,0.3942,0.8640,0.4038
2,24,0.8322,0.4363,0.7105,1.0144
2,25,0.8390,0.4430,0.8684,0.4075
2,26,0.8333,0.4535,0.8377,0.5411
2,27,0.8526,0.4262,0.7851,0.7070
2,28,0.7829,0.5854,0.8465,0.5309
2,29,0.7874,0.5362,0.8202,0.5285
2,30,0.8505,0.4191,0.8114,0.5137
3,1,0.3873,6.0925,0.2412,2.0393
3,2,0.5505,1.3451,0.6360,1.0468
3,3,0.6265,1.0138,0.7588,0.7484
3,3,0.6265,1.0138,0.7588,0.7484
3,4,0.6855,0.8324,0.6623,1.0406
3,5,0.7109,0.8217,0.7105,0.8271
3,6,0.7037,0.8456,0.7895,0.6339
3,7,0.7381,0.7543,0.5702,1.3294
3,8,0.7211,0.7750,0.7982,0.6447
3,9,0.7333,0.7253,0.8246,0.4905
3,10,0.7624,0.6574,0.8158,0.4740
3,11,0.7666,0.6118,0.8553,0.5388
3,12,0.7834,0.5392,0.8026,0.5022
3,13,0.8013,0.5375,0.8421,0.4967
3,14,0.8324,0.4596,0.8684,0.4806
3,15,0.7952,0.5929,0.8465,0.4091      
3,16,0.7989,0.5443,0.8465,0.4975      
3,17,0.8286,0.4526,0.8728,0.3966
3,18,0.8531,0.3840,0.8947,0.4333
3,19,0.8458,0.4673,0.8070,0.5891
3,20,0.8246,0.4372,0.8816,0.4200
3,21,0.8404,0.4140,0.8070,0.5847
3,22,0.8589,0.3757,0.8377,0.7176
3,23,0.8385,0.5153,0.8246,0.4874
3,24,0.8517,0.4463,0.6974,0.7760
3,25,0.8575,0.4003,0.7675,0.8420
3,26,0.8733,0.4052,0.8816,0.3693
3,27,0.8807,0.2928,0.8640,0.4137
3,28,0.8510,0.3561,0.8596,1.0989
3,29,0.8623,0.3549,0.8377,0.5251
3,30,0.8287,0.4357,0.8860,0.4025